id,title,lat,lng,note,comment,flagged_far_from_denver,miles_from_denver,resolved_label,source_url
55,Roxborough Park,39.4591655,-105.0786091,,,,19.9,"Roxborough Park, CO",https://www.google.com/maps/place/Roxborough+Park/data=!4m2!3m1!1s0x876b6328b5b37ab7:0x32ac5892df399a6d
56,Dropped pin,39.7406265,-105.5159223,,,,27.9,,"https://www.google.com/maps/search/39.7406265,-105.5159223"
57,Dropped pin,39.7468425,-105.1248013,,,,7.2,,"https://www.google.com/maps/search/39.7468425,-105.1248013"
58,Dropped pin,39.7423094,-105.1514031,,,,8.6,,"https://www.google.com/maps/search/39.7423094,-105.1514031"
59,Buckingham Park Parking Lot,40.1111771,-105.3064755,,,,30.7,Buckingham Park Parking Lot,https://www.google.com/maps/place/Buckingham+Park+Parking+Lot/data=!4m2!3m1!1s0x876be52cc639c53f:0x708600df697057f2
60,Dropped pin,39.760186,-105.1065475,,,,6.3,,"https://www.google.com/maps/search/39.760186,-105.1065475"
61,Palmer Park,38.8785002,-104.7678925,,,,60.6,Palmer Park,https://www.google.com/maps/place/Palmer+Park/data=!4m2!3m1!1s0x87134f5bc2a5548f:0x5c5db07280958345
62,Lookout Mountain Park,39.7333582,-105.2384861,,,,13.2,Lookout Mountain Park,https://www.google.com/maps/place/Lookout+Mountain+Park/data=!4m2!3m1!1s0x876b9b3d0867f7e7:0x4ac5a39846243b36
63,River Run Park,39.6432008,-105.015164,,,,6.8,River Run Park,https://www.google.com/maps/place/River+Run+Park/data=!4m2!3m1!1s0x876c80126f0d1b23:0xc03c2683cfdf7ba0
64,Thumb Rock,39.7449801,-105.2011514,,,,11.2,Thumb Rock,https://www.google.com/maps/place/Thumb+Rock/data=!4m2!3m1!1s0x876b85bf3d068393:0x871d665489c886d
65,Mount Morrison South Ridge Trailhead,39.6543888,-105.2026214,,,,12.7,Mount Morrison South Ridge Trailhead,https://www.google.com/maps/place/Mount+Morrison+South+Ridge+Trailhead/data=!4m2!3m1!1s0x876b831ae539f82d:0x224678f0ef7b802d
66,Turkey Trot Trail,39.6467387,-105.1984186,,,,12.8,Turkey Trot Trail,https://www.google.com/maps/place/Turkey+Trot+Trail/data=!4m2!3m1!1s0x876b833585527715:0x27ccc812877471a6
67,Dropped pin,39.5206191,-105.078967,,,,15.8,,"https://www.google.com/maps/search/39.5206191,-105.078967"
68,Dropped pin,39.7532755,-105.210469,,,,11.7,,"https://www.google.com/maps/search/39.7532755,-105.210469"
69,Dropped pin,39.7722996,-105.1518658,,,,8.9,,"https://www.google.com/maps/search/39.7722996,-105.1518658"
70,Dropped pin,39.7472959,-105.1261628,,,,7.2,,"https://www.google.com/maps/search/39.7472959,-105.1261628"
71,Dropped pin,39.7457141,-105.1235336,,,,7.1,,"https://www.google.com/maps/search/39.7457141,-105.1235336"
72,Dropped pin,39.7750661,-105.1228416,,,,7.5,,"https://www.google.com/maps/search/39.7750661,-105.1228416"
73,Dropped pin,39.7751774,-105.1131457,,,,7.0,,"https://www.google.com/maps/search/39.7751774,-105.1131457"
74,Dropped pin,39.7442419,-105.1171912,,,,6.8,,"https://www.google.com/maps/search/39.7442419,-105.1171912"
75,Dropped pin,39.7444051,-105.1169659,,,,6.7,,"https://www.google.com/maps/search/39.7444051,-105.1169659"
76,Golden,39.7804785,-105.1869751,,,,10.8,"Golden, CO 80403",https://www.google.com/maps/place/Golden/data=!4m2!3m1!1s0x876b856fa686bf2b:0xae74906d80c71df
77,Daniels Park,39.4726811,-104.9220661,,,,18.8,Daniels Park,https://www.google.com/maps/place/Daniels+Park/data=!4m2!3m1!1s0x876c9b455257ac25:0x42c2eeb22fd98486
78,Nature’s Valley,39.7188139,-105.1072795,,,,6.4,Nature’s Valley,https://www.google.com/maps/place/Nature%E2%80%99s+Valley/data=!4m2!3m1!1s0x876b81a059486727:0x5e9757fb81ab1981
79,Dropped pin,39.7047202,-104.9335105,,,,3.8,,"https://www.google.com/maps/search/39.7047202,-104.9335105"
80,Bear Creek Park,39.6515855,-105.0462437,,,,6.7,Bear Creek Park,https://www.google.com/maps/place/Bear+Creek+Park/data=!4m2!3m1!1s0x876b8002ef3a5a11:0x9825c95d3b048b1
81,Red Rocks Elementary School,39.6566798,-105.1971311,,,,12.4,Red Rocks Elementary School,https://www.google.com/maps/place/Red+Rocks+Elementary+School/data=!4m2!3m1!1s0x876b82c263acff71:0xc9e4926c7fa8db10
